"","Estacao","Data","value"
"399","RD033",1999 mar,124
"400","RD033",1999 mai,18.9
"401","RD033",1999 ago,13
"402","RD033",1999 nov,315
"403","RD033",2000 fev,128
"404","RD033",2000 mai,51.8
"405","RD033",2000 ago,20.2
"406","RD033",2000 out,16.4
"407","RD033",2001 fev,47.3
"408","RD033",2001 mai,30.2
"409","RD033",2001 ago,18
"410","RD033",2001 out,83.9
"411","RD033",2002 fev,374
"412","RD033",2002 abr,45.9
"413","RD033",2002 ago,23
"414","RD033",2002 out,141
"415","RD033",2003 fev,86.2
"416","RD033",2003 mai,22.2
"417","RD033",2003 jul,19.5
"418","RD033",2003 out,27.3
"419","RD033",2004 jan,276
"420","RD033",2004 abr,96
"421","RD033",2004 jul,41.9
"422","RD033",2004 out,43.5
"423","RD033",2005 jan,277
"424","RD033",2005 abr,71.6
"425","RD033",2005 jul,13.3
"426","RD033",2005 out,39.5
"427","RD033",2006 jan,21.9
"428","RD033",2006 abr,33.8
"429","RD033",2006 jul,16.3
"430","RD033",2006 out,12
"431","RD033",2007 jan,281
"432","RD033",2007 abr,50.4
"433","RD033",2007 jul,19.4
"434","RD033",2007 out,16.7
"435","RD033",2008 jan,77
"436","RD033",2008 abr,145
"437","RD033",2008 jul,19.4
"438","RD033",2008 out,23.5
"439","RD033",2009 jan,318
"440","RD033",2009 abr,101
"441","RD033",2009 jul,31.2
"442","RD033",2009 out,59.9
"443","RD033",2010 jan,63.5
"444","RD033",2010 abr,41.6
"445","RD033",2010 jul,13
"446","RD033",2010 out,21.6
"447","RD033",2011 jan,84.8
"448","RD033",2011 abr,53.8
"449","RD033",2011 jul,20.6
"450","RD033",2011 out,14.6
"451","RD033",2012 jan,99
"452","RD033",2012 abr,45.9
"453","RD033",2012 jul,21.1
"454","RD033",2012 out,13.1
"455","RD033",2013 jan,955
"456","RD033",2013 abr,89.9
"457","RD033",2013 jun,21.9
"458","RD033",2013 jul,12.8
"459","RD033",2013 ago,10.8
"460","RD033",2013 set,9.15
"461","RD033",2013 out,57.4
"462","RD033",2013 nov,36.9
"463","RD033",2013 dez,125
"464","RD033",2014 jan,43.1
"465","RD033",2014 fev,17.3
"466","RD033",2014 mar,39
"467","RD033",2014 abr,47.3
"468","RD033",2014 mai,4.36
"469","RD033",2014 jun,4.62
"470","RD033",2014 jul,3.38
"471","RD033",2014 ago,3.6
"472","RD033",2014 set,3.08
"473","RD033",2014 out,3.77
"474","RD033",2014 nov,83.9
"475","RD033",2014 dez,100
"476","RD033",2015 jan,8.36
"477","RD033",2015 fev,19.5
"478","RD033",2015 mar,72.3
"479","RD033",2015 abr,14.6
"480","RD033",2015 mai,6.18
"481","RD033",2015 jun,7.27
"482","RD033",2015 jul,7.61
"483","RD033",2015 ago,3.09
"484","RD033",2015 set,11.5
"485","RD033",2015 out,2.29
"486","RD033",2015 dez,7534
"487","RD033",2016 jan,3279
"488","RD033",2016 mar,450
"489","RD033",2016 abr,141
"490","RD033",2016 mai,332
"491","RD033",2016 jun,115
"492","RD033",2016 jul,97
"493","RD033",2016 ago,137
"494","RD033",2016 set,218
"495","RD033",2016 out,92.6
"496","RD033",2016 nov,196
"497","RD033",2016 dez,347
"498","RD033",2017 jan,421
"499","RD033",2017 fev,113
"500","RD033",2017 jul,52.8
"501","RD033",2017 ago,28
"502","RD033",2017 set,57.5
"503","RD033",2017 out,10.5
"504","RD033",2017 nov,54.8
"505","RD033",2017 dez,2398
"506","RD033",2018 jan,80.7
"507","RD033",2018 fev,240
"508","RD033",2018 mar,230
"509","RD033",2018 abr,95
"510","RD033",2018 mai,39.1
"511","RD033",2018 jun,20.7
"512","RD033",2018 jul,18.3
"513","RD033",2018 ago,52.3
"514","RD033",2018 set,16.3
"515","RD033",2018 out,102
"516","RD033",2018 nov,57.1
"517","RD033",2018 dez,175
"518","RD033",2019 jan,24.7
"519","RD033",2019 fev,48.7
"520","RD033",2019 mar,120
"521","RD033",2019 abr,77.4
"522","RD033",2019 mai,37.4
"523","RD033",2019 jun,14.4
"524","RD033",2019 jul,10.7
"525","RD033",2019 ago,9.16
"526","RD033",2019 set,10.7
"527","RD033",2019 out,6.07
"528","RD033",2019 nov,57.7
"529","RD033",2019 dez,287
"530","RD033",2020 jan,264
