"","Estacao","Data_de_Amostragem","Ano","Turbidez","Data"
"256","RD045",2005-04-26,2005,77.5,2005 abr
"257","RD045",2005-07-17,2005,15.6,2005 jul
"258","RD045",2005-10-09,2005,34.1,2005 out
"259","RD045",2006-01-22,2006,43.3,2006 jan
"260","RD045",2006-04-25,2006,36.4,2006 abr
"261","RD045",2006-07-18,2006,12,2006 jul
"262","RD045",2006-10-10,2006,35.8,2006 out
"263","RD053",2002-02-27,2002,247,2002 fev
"264","RD053",2002-04-30,2002,38.4,2002 abr
"265","RD053",2002-08-04,2002,16.9,2002 ago
"266","RD053",2002-10-28,2002,23.9,2002 out
"267","RD053",2003-02-19,2003,115,2003 fev
"268","RD053",2003-05-06,2003,21.3,2003 mai
"269","RD053",2003-07-27,2003,12.7,2003 jul
"270","RD053",2003-10-26,2003,161,2003 out
"271","RD053",2004-01-25,2004,560,2004 jan
"272","RD053",2004-05-02,2004,91,2004 mai
"273","RD053",2004-07-25,2004,60,2004 jul
"274","RD053",2004-10-24,2004,15.4,2004 out
"275","RD053",2005-01-23,2005,222,2005 jan
"276","RD053",2005-04-26,2005,78.5,2005 abr
"277","RD053",2005-07-17,2005,22.4,2005 jul
"278","RD053",2005-10-09,2005,29.9,2005 out
"279","RD053",2006-01-22,2006,77.7,2006 jan
"280","RD053",2006-04-25,2006,84.2,2006 abr
"281","RD053",2006-07-18,2006,19.3,2006 jul
"282","RD053",2006-10-10,2006,19.8,2006 out
"283","RD058",2002-02-27,2002,281,2002 fev
"284","RD058",2002-04-30,2002,45.7,2002 abr
"285","RD058",2002-08-04,2002,17.1,2002 ago
"286","RD058",2002-10-28,2002,31.3,2002 out
"287","RD058",2003-02-19,2003,182,2003 fev
"288","RD058",2003-05-06,2003,20.8,2003 mai
"289","RD058",2003-07-27,2003,10.8,2003 jul
"290","RD058",2003-10-26,2003,258,2003 out
"291","RD058",2004-01-25,2004,391,2004 jan
"292","RD058",2004-05-02,2004,92.5,2004 mai
"293","RD058",2004-07-25,2004,53.5,2004 jul
"294","RD058",2004-10-24,2004,15.3,2004 out
"295","RD058",2005-01-23,2005,209,2005 jan
"296","RD058",2005-04-26,2005,101,2005 abr
"297","RD058",2005-07-17,2005,26.3,2005 jul
"298","RD058",2005-10-09,2005,40.6,2005 out
"299","RD058",2006-01-22,2006,44.4,2006 jan
"300","RD058",2006-04-25,2006,19.9,2006 abr
"301","RD058",2006-07-18,2006,12.5,2006 jul
"302","RD058",2006-10-10,2006,13.1,2006 out
"303","RD059",2002-02-28,2002,392,2002 fev
"304","RD059",2002-05-01,2002,40.4,2002 mai
"305","RD059",2002-08-05,2002,13.5,2002 ago
"306","RD059",2002-10-29,2002,22.9,2002 out
"307","RD059",2003-02-20,2003,239,2003 fev
"308","RD059",2003-05-07,2003,23.2,2003 mai
"309","RD059",2003-07-28,2003,10.8,2003 jul
"310","RD059",2003-10-27,2003,240,2003 out
"311","RD059",2004-01-26,2004,764,2004 jan
"312","RD059",2004-05-03,2004,112,2004 mai
